sex,movement,cm_jump+height_max_in,cm_jump+height_average_in,delta_total_average,source,name,hold out
Men,Countermovement Jump,13.3,12.9,3.1,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Alpha Mike November Sierra,0
Men,Countermovement Jump,18.6,18.1,2.8,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Alpha November Mike Sierra,0
Men,Countermovement Jump,12.8,12.6,1.6,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Bravo November Whiskey November,0
Men,Countermovement Jump,15.4,15.1,2,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Bravo November Delta Yankee,0
Men,Countermovement Jump,16.6,16.3,1.8,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Charlie November Hotel Echo,0
Men,Countermovement Jump,18.4,17.8,3.4,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Charlie November Bravo Yankee,0
Men,Countermovement Jump,14,13.8,1.4,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Charlie Echo Echo November,0
Men,Countermovement Jump,12.3,12.1,1.7,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Charlie November Mike Echo,0
Men,Countermovement Jump,13.8,13.6,1.5,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Charlie Romeo Charlie Lima,0
Men,Countermovement Jump,14.3,14.1,1.4,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Charlie Romeo Delta November,0
Men,Countermovement Jump,13.5,13.1,3.1,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Echo November Mike Romeo,0
Men,Countermovement Jump,12.7,12.6,0.8,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Golf Echo Tango November,0
Men,Countermovement Jump,17.1,16.5,3.6,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Golf Tango Sierra Zulu,0
Men,Countermovement Jump,15,15,0,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Golf November Whiskey Echo,0
Men,Countermovement Jump,13.9,13.5,3,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Golf Echo Golf Yankee,0
Men,Countermovement Jump,16.8,15.3,9.8,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Golf Echo Mike Sierra,0
Men,Countermovement Jump,12.8,13.2,-3,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Golf Foxtrot Hotel Sierra,0
Men,Countermovement Jump,14.9,14.8,0.7,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,India Charlie Sierra Lima,0
Men,Countermovement Jump,17.4,17.2,1.2,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Juliett Kilo Whiskey Sierra,0
Men,Countermovement Jump,13,12.8,1.6,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Juliett Kilo Papa Echo,0
Men,Countermovement Jump,16.5,15.7,5.1,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Juliett Kilo Sierra November,0
Men,Countermovement Jump,14.2,14.3,-0.7,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Juliett Echo Echo Lima,0
Men,Countermovement Jump,14.4,14.2,1.4,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Juliett Echo Papa Oscar,0
Men,Countermovement Jump,17.6,17.5,0.6,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Juliett Echo Golf Echo,0
Men,Countermovement Jump,15,15,0,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Juliett Echo Foxtrot Delta,0
Men,Countermovement Jump,14.2,13.7,3.6,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Juliett November Kilo Charlie,0
Men,Countermovement Jump,16,15.4,3.9,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Kilo November Hotel Echo,0
Men,Countermovement Jump,15.1,13.8,9.4,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Kilo November Charlie Lima,0
Men,Countermovement Jump,16.3,16.3,0,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Lima November Charlie Sierra,0
Men,Countermovement Jump,18.1,18,0.6,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Lima Mike Tango Romeo,0
Men,Countermovement Jump,13.6,13.5,0.7,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Lima November Lima Echo,0
Men,Countermovement Jump,14.4,13.9,3.6,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Lima November Delta Romeo,0
