sex,movement,absolute_impulse_newton_second,personal_average_newton_second,delta_total_average,source,name,hold out
Women,Isometric Mid-Thigh Pull,73.3,72,1.8,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Alpha November Tango Romeo,0
Women,Isometric Mid-Thigh Pull,95.2,91.4,4.2,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Alpha November Bravo November,0
Women,Isometric Mid-Thigh Pull,73.8,70.2,5.1,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Alpha Alpha Tango Yankee,0
Women,Isometric Mid-Thigh Pull,90.4,82,10.2,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Bravo Echo Romeo Echo,0
Women,Isometric Mid-Thigh Pull,107.4,101.6,5.7,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Charlie Echo Lima Golf,0
Women,Isometric Mid-Thigh Pull,90.6,89.1,1.7,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Echo Hotel Hotel Romeo,0
Women,Isometric Mid-Thigh Pull,85.1,85,0.1,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Echo November Charlie November,0
Women,Isometric Mid-Thigh Pull,78,71.5,9.1,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Echo Alpha Kilo Yankee,0
Women,Isometric Mid-Thigh Pull,65,64.1,1.4,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Hotel Hotel Mike November,0
Women,Isometric Mid-Thigh Pull,90.3,81.6,10.7,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Hotel Yankee Alpha Golf,0
Women,Isometric Mid-Thigh Pull,114.4,111.5,2.6,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Juliett Echo Tango Tango,0
Women,Isometric Mid-Thigh Pull,101.8,84.1,21,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Kilo Alpha Charlie Delta,0
Women,Isometric Mid-Thigh Pull,108.9,101.2,7.6,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Kilo Alpha November November,0
Women,Isometric Mid-Thigh Pull,113.4,107.4,5.6,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Lima Alpha Delta Echo,0
Women,Isometric Mid-Thigh Pull,77.7,67.7,14.8,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Lima November Delta Echo,0
Women,Isometric Mid-Thigh Pull,110.3,89.6,23.1,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Mike Echo Hotel Sierra,0
Women,Isometric Mid-Thigh Pull,119.6,106.5,12.3,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Mike Alpha Lima Delta,0
Women,Isometric Mid-Thigh Pull,113.9,94.7,20.3,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Romeo Hotel Kilo Yankee,0
Women,Isometric Mid-Thigh Pull,114.1,103.8,9.9,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Romeo Echo November Hotel,0
Women,Isometric Mid-Thigh Pull,117.4,115.5,1.6,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Romeo Echo Juliett Sierra,0
Women,Isometric Mid-Thigh Pull,89.5,81.8,9.4,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Romeo Yankee Mike Kilo,0
Women,Isometric Mid-Thigh Pull,73.4,71.8,2.2,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Sierra Hotel November November,0
Women,Isometric Mid-Thigh Pull,75.1,71.8,4.6,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Sierra Alpha Hotel Tango,0
Women,Isometric Mid-Thigh Pull,103.4,98.1,5.4,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Tango November Whiskey Romeo,0
Men,Isometric Mid-Thigh Pull,80.6,75.6,6.6,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Alpha Mike November Sierra,0
Men,Isometric Mid-Thigh Pull,96.3,88.1,9.3,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Alpha November Mike Sierra,0
Men,Isometric Mid-Thigh Pull,81.9,80.1,2.2,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Bravo November Whiskey November,0
Men,Isometric Mid-Thigh Pull,74.5,68.2,9.2,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Bravo November Delta Yankee,0
Men,Isometric Mid-Thigh Pull,71,70.5,0.7,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Charlie November Hotel Echo,0
Men,Isometric Mid-Thigh Pull,81.9,76.4,7.2,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Charlie November Bravo Yankee,0
Men,Isometric Mid-Thigh Pull,88.7,87.7,1.1,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Charlie Echo Echo November,0
Men,Isometric Mid-Thigh Pull,112.4,106.8,5.2,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Charlie November Mike Echo,0
Men,Isometric Mid-Thigh Pull,105.3,102.1,3.1,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Charlie Romeo Charlie Lima,0
Men,Isometric Mid-Thigh Pull,114.2,112.2,1.8,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Charlie Romeo Delta November,0
Men,Isometric Mid-Thigh Pull,97.9,89.6,9.3,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Echo November Mike Romeo,0
Men,Isometric Mid-Thigh Pull,85.9,85.6,0.4,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Golf Echo Tango November,0
Men,Isometric Mid-Thigh Pull,89.9,84,7,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Golf Tango Sierra Zulu,0
Men,Isometric Mid-Thigh Pull,122.4,116.7,4.9,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Golf November Whiskey Echo,0
Men,Isometric Mid-Thigh Pull,89.4,83.3,7.3,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Golf Echo Golf Yankee,0
Men,Isometric Mid-Thigh Pull,95.8,94,1.9,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Golf Echo Mike Sierra,0
Men,Isometric Mid-Thigh Pull,101.7,100.8,0.9,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Golf Foxtrot Hotel Sierra,0
Men,Isometric Mid-Thigh Pull,83.6,82.5,1.3,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,India Charlie Sierra Lima,0
Men,Isometric Mid-Thigh Pull,64.8,64.8,0,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Juliett Kilo Whiskey Sierra,0
Men,Isometric Mid-Thigh Pull,107.6,102.1,5.4,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Juliett Kilo Papa Echo,0
Men,Isometric Mid-Thigh Pull,86.2,84.3,2.3,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Juliett Kilo Sierra November,0
Men,Isometric Mid-Thigh Pull,104,90.7,14.7,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Juliett Echo Echo Lima,0
Men,Isometric Mid-Thigh Pull,164.1,141.5,16,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Juliett Echo Papa Oscar,0
Men,Isometric Mid-Thigh Pull,121.4,108.4,12,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Juliett Echo Golf Echo,0
Men,Isometric Mid-Thigh Pull,87.5,83.6,4.7,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Juliett Echo Foxtrot Delta,0
Men,Isometric Mid-Thigh Pull,79.2,73.5,7.8,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Juliett November Kilo Charlie,0
Men,Isometric Mid-Thigh Pull,101.7,98.8,2.9,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Kilo November Hotel Echo,0
Men,Isometric Mid-Thigh Pull,94.5,93.4,1.2,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Kilo November Charlie Lima,0
Men,Isometric Mid-Thigh Pull,96.4,96.2,0.2,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Lima November Charlie Sierra,0
Men,Isometric Mid-Thigh Pull,123.3,107.2,15,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Lima Mike Tango Romeo,0
Men,Isometric Mid-Thigh Pull,106.1,103.8,2.2,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Lima November Lima Echo,0
Men,Isometric Mid-Thigh Pull,114.6,104.7,9.5,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Lima November Delta Romeo,0
Men,Isometric Mid-Thigh Pull,152.1,148.2,2.6,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Lima November Papa Echo,0
Men,Isometric Mid-Thigh Pull,119.5,93.3,28.1,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Mike November Charlie Echo,0
Men,Isometric Mid-Thigh Pull,80.6,80.6,0,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,November November Bravo Romeo,0
Men,Isometric Mid-Thigh Pull,90.8,89.8,1.1,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,November November November Oscar,0
Men,Isometric Mid-Thigh Pull,69.7,69,1,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,November Sierra Sierra India,0
Men,Isometric Mid-Thigh Pull,82.2,79.1,3.9,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,November Hotel Bravo Echo,0
Men,Isometric Mid-Thigh Pull,82.1,80.7,1.7,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,November November Sierra November,0
Men,Isometric Mid-Thigh Pull,83.3,79.5,4.8,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Oscar November Oscar November,0
Men,Isometric Mid-Thigh Pull,103.4,91.4,13.1,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Romeo Yankee Bravo November,0
Men,Isometric Mid-Thigh Pull,127,108.5,17.1,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Romeo Delta Papa Zulu,0
Men,Isometric Mid-Thigh Pull,77.6,72.4,7.2,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Romeo November Bravo Yankee,0
Men,Isometric Mid-Thigh Pull,85,84.7,0.4,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Sierra November Whiskey Tango,0
