,ID,mpg01
0,70_chevrolet chevelle malibu_3504,False
1,70_buick skylark 320_3693,False
2,70_plymouth satellite_3436,False
3,70_amc rebel sst_3433,False
4,70_ford torino_3449,False
5,70_ford galaxie 500_4341,False
6,70_chevrolet impala_4354,False
7,70_plymouth fury iii_4312,False
8,70_pontiac catalina_4425,False
9,70_amc ambassador dpl_3850,False
10,70_dodge challenger se_3563,False
11,70_plymouth 'cuda 340_3609,False
12,70_chevrolet monte carlo_3761,False
13,70_buick estate wagon (sw)_3086,False
14,70_toyota corona mark ii_2372,True
15,70_plymouth duster_2833,False
16,70_amc hornet_2774,False
17,70_ford maverick_2587,False
18,70_datsun pl510_2130,True
19,70_volkswagen 1131 deluxe sedan_1835,True
20,70_peugeot 504_2672,True
21,70_audi 100 ls_2430,True
22,70_saab 99e_2375,True
23,70_bmw 2002_2234,True
24,70_amc gremlin_2648,False
25,70_ford f250_4615,False
26,70_chevy c20_4376,False
27,70_dodge d200_4382,False
28,70_hi 1200d_4732,False
29,71_datsun pl510_2130,True
30,71_chevrolet vega 2300_2264,True
31,71_toyota corona_2228,True
32,71_ford pinto_2046,True
33,71_amc gremlin_2634,False
34,71_plymouth satellite custom_3439,False
35,71_chevrolet chevelle malibu_3329,False
36,71_ford torino 500_3302,False
37,71_amc matador_3288,False
38,71_chevrolet impala_4209,False
39,71_pontiac catalina brougham_4464,False
40,71_ford galaxie 500_4154,False
41,71_plymouth fury iii_4096,False
42,71_dodge monaco (sw)_4955,False
43,71_ford country squire (sw)_4746,False
44,71_pontiac safari (sw)_5140,False
45,71_amc hornet sportabout (sw)_2962,False
46,71_chevrolet vega (sw)_2408,False
47,71_pontiac firebird_3282,False
48,71_ford mustang_3139,False
49,71_mercury capri 2000_2220,False
50,71_opel 1900_2123,True
51,71_peugeot 304_2074,True
52,71_fiat 124b_2065,True
53,71_toyota corolla 1200_1773,True
54,71_datsun 1200_1613,True
55,71_volkswagen model 111_1834,True
56,71_plymouth cricket_1955,True
57,72_toyota corona hardtop_2278,True
58,72_dodge colt hardtop_2126,True
59,72_volkswagen type 3_2254,False
60,72_chevrolet vega_2408,False
61,72_ford pinto runabout_2226,False
62,72_chevrolet impala_4274,False
63,72_pontiac catalina_4385,False
64,72_plymouth fury iii_4135,False
65,72_ford galaxie 500_4129,False
66,72_amc ambassador sst_3672,False
67,72_mercury marquis_4633,False
68,72_buick lesabre custom_4502,False
69,72_oldsmobile delta 88 royale_4456,False
70,72_chrysler newport royal_4422,False
71,72_mazda rx2 coupe_2330,False
72,72_amc matador (sw)_3892,False
73,72_chevrolet chevelle concours (sw)_4098,False
74,72_ford gran torino (sw)_4294,False
75,72_plymouth satellite custom (sw)_4077,False
76,72_volvo 145e (sw)_2933,False
77,72_volkswagen 411 (sw)_2511,False
78,72_peugeot 504 (sw)_2979,False
79,72_renault 12 (sw)_2189,True
80,72_ford pinto (sw)_2395,False
81,72_datsun 510 (sw)_2288,True
82,72_toyouta corona mark ii (sw)_2506,False
83,72_dodge colt (sw)_2164,True
84,72_toyota corolla 1600 (sw)_2100,True
85,73_buick century 350_4100,False
86,73_amc matador_3672,False
87,73_chevrolet malibu_3988,False
88,73_ford gran torino_4042,False
89,73_dodge coronet custom_3777,False
90,73_mercury marquis brougham_4952,False
91,73_chevrolet caprice classic_4464,False
92,73_ford ltd_4363,False
93,73_plymouth fury gran sedan_4237,False
94,73_chrysler new yorker brougham_4735,False
95,73_buick electra 225 custom_4951,False
96,73_amc ambassador brougham_3821,False
97,73_plymouth valiant_3121,False
98,73_chevrolet nova custom_3278,False
99,73_amc hornet_2945,False
100,73_ford maverick_3021,False
101,73_plymouth duster_2904,False
102,73_volkswagen super beetle_1950,True
103,73_chevrolet impala_4997,False
104,73_ford country_4906,False
105,73_plymouth custom suburb_4654,False
106,73_oldsmobile vista cruiser_4499,False
107,73_amc gremlin_2789,False
108,73_toyota carina_2279,False
109,73_chevrolet vega_2401,False
110,73_datsun 610_2379,False
111,73_maxda rx3_2124,False
112,73_ford pinto_2310,False
