,mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name,mpg01
0,18.0,8,307.0,130,3504,12.0,70,1,chevrolet chevelle malibu,False
1,15.0,8,350.0,165,3693,11.5,70,1,buick skylark 320,False
2,18.0,8,318.0,150,3436,11.0,70,1,plymouth satellite,False
3,16.0,8,304.0,150,3433,12.0,70,1,amc rebel sst,False
4,17.0,8,302.0,140,3449,10.5,70,1,ford torino,False
5,15.0,8,429.0,198,4341,10.0,70,1,ford galaxie 500,False
6,14.0,8,454.0,220,4354,9.0,70,1,chevrolet impala,False
7,14.0,8,440.0,215,4312,8.5,70,1,plymouth fury iii,False
8,14.0,8,455.0,225,4425,10.0,70,1,pontiac catalina,False
9,15.0,8,390.0,190,3850,8.5,70,1,amc ambassador dpl,False
10,15.0,8,383.0,170,3563,10.0,70,1,dodge challenger se,False
11,14.0,8,340.0,160,3609,8.0,70,1,plymouth 'cuda 340,False
12,15.0,8,400.0,150,3761,9.5,70,1,chevrolet monte carlo,False
13,14.0,8,455.0,225,3086,10.0,70,1,buick estate wagon (sw),False
14,24.0,4,113.0,95,2372,15.0,70,3,toyota corona mark ii,True
15,22.0,6,198.0,95,2833,15.5,70,1,plymouth duster,False
16,18.0,6,199.0,97,2774,15.5,70,1,amc hornet,False
17,21.0,6,200.0,85,2587,16.0,70,1,ford maverick,False
18,27.0,4,97.0,88,2130,14.5,70,3,datsun pl510,True
19,26.0,4,97.0,46,1835,20.5,70,2,volkswagen 1131 deluxe sedan,True
20,25.0,4,110.0,87,2672,17.5,70,2,peugeot 504,True
21,24.0,4,107.0,90,2430,14.5,70,2,audi 100 ls,True
22,25.0,4,104.0,95,2375,17.5,70,2,saab 99e,True
23,26.0,4,121.0,113,2234,12.5,70,2,bmw 2002,True
24,21.0,6,199.0,90,2648,15.0,70,1,amc gremlin,False
25,10.0,8,360.0,215,4615,14.0,70,1,ford f250,False
26,10.0,8,307.0,200,4376,15.0,70,1,chevy c20,False
27,11.0,8,318.0,210,4382,13.5,70,1,dodge d200,False
28,9.0,8,304.0,193,4732,18.5,70,1,hi 1200d,False
29,27.0,4,97.0,88,2130,14.5,71,3,datsun pl510,True
30,28.0,4,140.0,90,2264,15.5,71,1,chevrolet vega 2300,True
31,25.0,4,113.0,95,2228,14.0,71,3,toyota corona,True
32,25.0,4,98.0,?,2046,19.0,71,1,ford pinto,True
33,19.0,6,232.0,100,2634,13.0,71,1,amc gremlin,False
34,16.0,6,225.0,105,3439,15.5,71,1,plymouth satellite custom,False
