ID,mpg01,Usage
70_chevrolet chevelle malibu_3504,False,Public
70_buick skylark 320_3693,False,Public
70_plymouth satellite_3436,False,Public
70_amc rebel sst_3433,False,Public
70_ford torino_3449,False,Public
70_ford galaxie 500_4341,False,Public
70_chevrolet impala_4354,False,Public
70_plymouth fury iii_4312,False,Public
70_pontiac catalina_4425,False,Public
70_amc ambassador dpl_3850,False,Public
70_dodge challenger se_3563,False,Public
70_plymouth 'cuda 340_3609,False,Public
70_chevrolet monte carlo_3761,False,Public
70_buick estate wagon (sw)_3086,False,Public
70_toyota corona mark ii_2372,True,Public
70_plymouth duster_2833,False,Public
70_amc hornet_2774,False,Public
70_ford maverick_2587,False,Public
70_datsun pl510_2130,True,Public
70_volkswagen 1131 deluxe sedan_1835,True,Public
70_peugeot 504_2672,True,Public
70_audi 100 ls_2430,True,Public
70_saab 99e_2375,True,Public
70_bmw 2002_2234,True,Public
70_amc gremlin_2648,False,Public
70_ford f250_4615,False,Public
70_chevy c20_4376,False,Public
70_dodge d200_4382,False,Public
70_hi 1200d_4732,False,Public
71_datsun pl510_2130,True,Public
71_chevrolet vega 2300_2264,True,Public
71_toyota corona_2228,True,Public
71_ford pinto_2046,True,Public
71_amc gremlin_2634,False,Public
71_plymouth satellite custom_3439,False,Public
71_chevrolet chevelle malibu_3329,False,Public
71_ford torino 500_3302,False,Public
71_amc matador_3288,False,Public
71_chevrolet impala_4209,False,Public
71_pontiac catalina brougham_4464,False,Public
71_ford galaxie 500_4154,False,Public
71_plymouth fury iii_4096,False,Public
71_dodge monaco (sw)_4955,False,Public
71_ford country squire (sw)_4746,False,Public
71_pontiac safari (sw)_5140,False,Public
71_amc hornet sportabout (sw)_2962,False,Public
71_chevrolet vega (sw)_2408,False,Public
71_pontiac firebird_3282,False,Public
71_ford mustang_3139,False,Public
71_mercury capri 2000_2220,False,Public
71_opel 1900_2123,True,Public
71_peugeot 304_2074,True,Public
71_fiat 124b_2065,True,Public
71_toyota corolla 1200_1773,True,Public
71_datsun 1200_1613,True,Public
71_volkswagen model 111_1834,True,Public
71_plymouth cricket_1955,True,Public
72_toyota corona hardtop_2278,True,Public
72_dodge colt hardtop_2126,True,Public
72_volkswagen type 3_2254,False,Public
72_chevrolet vega_2408,False,Public
