ID,mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name,mpg01,Usage
3504_70_chevrolet chevelle malibu,18.0,8,307.0,130,3504,12.0,70,1,chevrolet chevelle malibu,False,Public
3693_70_buick skylark 320,15.0,8,350.0,165,3693,11.5,70,1,buick skylark 320,False,Public
3436_70_plymouth satellite,18.0,8,318.0,150,3436,11.0,70,1,plymouth satellite,False,Public
3433_70_amc rebel sst,16.0,8,304.0,150,3433,12.0,70,1,amc rebel sst,False,Public
3449_70_ford torino,17.0,8,302.0,140,3449,10.5,70,1,ford torino,False,Public
4341_70_ford galaxie 500,15.0,8,429.0,198,4341,10.0,70,1,ford galaxie 500,False,Public
4354_70_chevrolet impala,14.0,8,454.0,220,4354,9.0,70,1,chevrolet impala,False,Public
4312_70_plymouth fury iii,14.0,8,440.0,215,4312,8.5,70,1,plymouth fury iii,False,Public
4425_70_pontiac catalina,14.0,8,455.0,225,4425,10.0,70,1,pontiac catalina,False,Public
3850_70_amc ambassador dpl,15.0,8,390.0,190,3850,8.5,70,1,amc ambassador dpl,False,Public
3563_70_dodge challenger se,15.0,8,383.0,170,3563,10.0,70,1,dodge challenger se,False,Public
3609_70_plymouth 'cuda 340,14.0,8,340.0,160,3609,8.0,70,1,plymouth 'cuda 340,False,Public
3761_70_chevrolet monte carlo,15.0,8,400.0,150,3761,9.5,70,1,chevrolet monte carlo,False,Public
3086_70_buick estate wagon (sw),14.0,8,455.0,225,3086,10.0,70,1,buick estate wagon (sw),False,Public
2372_70_toyota corona mark ii,24.0,4,113.0,95,2372,15.0,70,3,toyota corona mark ii,True,Public
2833_70_plymouth duster,22.0,6,198.0,95,2833,15.5,70,1,plymouth duster,False,Public
2774_70_amc hornet,18.0,6,199.0,97,2774,15.5,70,1,amc hornet,False,Public
2587_70_ford maverick,21.0,6,200.0,85,2587,16.0,70,1,ford maverick,False,Public
2130_70_datsun pl510,27.0,4,97.0,88,2130,14.5,70,3,datsun pl510,True,Public
1835_70_volkswagen 1131 deluxe sedan,26.0,4,97.0,46,1835,20.5,70,2,volkswagen 1131 deluxe sedan,True,Public
2672_70_peugeot 504,25.0,4,110.0,87,2672,17.5,70,2,peugeot 504,True,Public
2430_70_audi 100 ls,24.0,4,107.0,90,2430,14.5,70,2,audi 100 ls,True,Public
2375_70_saab 99e,25.0,4,104.0,95,2375,17.5,70,2,saab 99e,True,Public
2234_70_bmw 2002,26.0,4,121.0,113,2234,12.5,70,2,bmw 2002,True,Public
2648_70_amc gremlin,21.0,6,199.0,90,2648,15.0,70,1,amc gremlin,False,Public
4615_70_ford f250,10.0,8,360.0,215,4615,14.0,70,1,ford f250,False,Public
4376_70_chevy c20,10.0,8,307.0,200,4376,15.0,70,1,chevy c20,False,Public
4382_70_dodge d200,11.0,8,318.0,210,4382,13.5,70,1,dodge d200,False,Public
4732_70_hi 1200d,9.0,8,304.0,193,4732,18.5,70,1,hi 1200d,False,Public
2130_71_datsun pl510,27.0,4,97.0,88,2130,14.5,71,3,datsun pl510,True,Public
2264_71_chevrolet vega 2300,28.0,4,140.0,90,2264,15.5,71,1,chevrolet vega 2300,True,Public
2228_71_toyota corona,25.0,4,113.0,95,2228,14.0,71,3,toyota corona,True,Public
2046_71_ford pinto,25.0,4,98.0,?,2046,19.0,71,1,ford pinto,True,Public
2634_71_amc gremlin,19.0,6,232.0,100,2634,13.0,71,1,amc gremlin,False,Public
3439_71_plymouth satellite custom,16.0,6,225.0,105,3439,15.5,71,1,plymouth satellite custom,False,Public
3329_71_chevrolet chevelle malibu,17.0,6,250.0,100,3329,15.5,71,1,chevrolet chevelle malibu,False,Public
3302_71_ford torino 500,19.0,6,250.0,88,3302,15.5,71,1,ford torino 500,False,Public
3288_71_amc matador,18.0,6,232.0,100,3288,15.5,71,1,amc matador,False,Public
4209_71_chevrolet impala,14.0,8,350.0,165,4209,12.0,71,1,chevrolet impala,False,Public
4464_71_pontiac catalina brougham,14.0,8,400.0,175,4464,11.5,71,1,pontiac catalina brougham,False,Public
4154_71_ford galaxie 500,14.0,8,351.0,153,4154,13.5,71,1,ford galaxie 500,False,Public
4096_71_plymouth fury iii,14.0,8,318.0,150,4096,13.0,71,1,plymouth fury iii,False,Public
4955_71_dodge monaco (sw),12.0,8,383.0,180,4955,11.5,71,1,dodge monaco (sw),False,Public
4746_71_ford country squire (sw),13.0,8,400.0,170,4746,12.0,71,1,ford country squire (sw),False,Public
5140_71_pontiac safari (sw),13.0,8,400.0,175,5140,12.0,71,1,pontiac safari (sw),False,Public
2962_71_amc hornet sportabout (sw),18.0,6,258.0,110,2962,13.5,71,1,amc hornet sportabout (sw),False,Public
2408_71_chevrolet vega (sw),22.0,4,140.0,72,2408,19.0,71,1,chevrolet vega (sw),False,Public
3282_71_pontiac firebird,19.0,6,250.0,100,3282,15.0,71,1,pontiac firebird,False,Public
3139_71_ford mustang,18.0,6,250.0,88,3139,14.5,71,1,ford mustang,False,Public
2220_71_mercury capri 2000,23.0,4,122.0,86,2220,14.0,71,1,mercury capri 2000,False,Public
2123_71_opel 1900,28.0,4,116.0,90,2123,14.0,71,2,opel 1900,True,Public
2074_71_peugeot 304,30.0,4,79.0,70,2074,19.5,71,2,peugeot 304,True,Public
2065_71_fiat 124b,30.0,4,88.0,76,2065,14.5,71,2,fiat 124b,True,Public
1773_71_toyota corolla 1200,31.0,4,71.0,65,1773,19.0,71,3,toyota corolla 1200,True,Public
1613_71_datsun 1200,35.0,4,72.0,69,1613,18.0,71,3,datsun 1200,True,Public
1834_71_volkswagen model 111,27.0,4,97.0,60,1834,19.0,71,2,volkswagen model 111,True,Public
1955_71_plymouth cricket,26.0,4,91.0,70,1955,20.5,71,1,plymouth cricket,True,Public
2278_72_toyota corona hardtop,24.0,4,113.0,95,2278,15.5,72,3,toyota corona hardtop,True,Public
2126_72_dodge colt hardtop,25.0,4,97.5,80,2126,17.0,72,1,dodge colt hardtop,True,Public
2254_72_volkswagen type 3,23.0,4,97.0,54,2254,23.5,72,2,volkswagen type 3,False,Public
