ID,mpg01
70_chevrolet chevelle malibu_3504,False
70_buick skylark 320_3693,False
70_plymouth satellite_3436,False
70_amc rebel sst_3433,False
70_ford torino_3449,False
70_ford galaxie 500_4341,False
70_chevrolet impala_4354,False
70_plymouth fury iii_4312,False
70_pontiac catalina_4425,False
70_amc ambassador dpl_3850,False
70_dodge challenger se_3563,False
70_plymouth 'cuda 340_3609,False
70_chevrolet monte carlo_3761,False
70_buick estate wagon (sw)_3086,False
70_toyota corona mark ii_2372,True
70_plymouth duster_2833,False
70_amc hornet_2774,False
70_ford maverick_2587,False
70_datsun pl510_2130,True
70_volkswagen 1131 deluxe sedan_1835,True
70_peugeot 504_2672,True
70_audi 100 ls_2430,True
70_saab 99e_2375,True
70_bmw 2002_2234,True
70_amc gremlin_2648,False
70_ford f250_4615,False
70_chevy c20_4376,False
70_dodge d200_4382,False
70_hi 1200d_4732,False
71_datsun pl510_2130,True
71_chevrolet vega 2300_2264,True
71_toyota corona_2228,True
71_ford pinto_2046,True
71_amc gremlin_2634,False
71_plymouth satellite custom_3439,False
71_chevrolet chevelle malibu_3329,False
71_ford torino 500_3302,False
71_amc matador_3288,False
71_chevrolet impala_4209,False
71_pontiac catalina brougham_4464,False
71_ford galaxie 500_4154,False
71_plymouth fury iii_4096,False
71_dodge monaco (sw)_4955,False
71_ford country squire (sw)_4746,False
71_pontiac safari (sw)_5140,False
71_amc hornet sportabout (sw)_2962,False
71_chevrolet vega (sw)_2408,False
71_pontiac firebird_3282,False
71_ford mustang_3139,False
71_mercury capri 2000_2220,False
71_opel 1900_2123,True
71_peugeot 304_2074,True
71_fiat 124b_2065,True
71_toyota corolla 1200_1773,True
71_datsun 1200_1613,True
71_volkswagen model 111_1834,True
71_plymouth cricket_1955,True
72_toyota corona hardtop_2278,True
72_dodge colt hardtop_2126,True
72_volkswagen type 3_2254,False
72_chevrolet vega_2408,False
72_ford pinto runabout_2226,False
72_chevrolet impala_4274,False
72_pontiac catalina_4385,False
72_plymouth fury iii_4135,False
72_ford galaxie 500_4129,False
72_amc ambassador sst_3672,False
72_mercury marquis_4633,False
72_buick lesabre custom_4502,False
72_oldsmobile delta 88 royale_4456,False
72_chrysler newport royal_4422,False
72_mazda rx2 coupe_2330,False
72_amc matador (sw)_3892,False
72_chevrolet chevelle concours (sw)_4098,False
72_ford gran torino (sw)_4294,False
72_plymouth satellite custom (sw)_4077,False
72_volvo 145e (sw)_2933,False
72_volkswagen 411 (sw)_2511,False
72_peugeot 504 (sw)_2979,False
72_renault 12 (sw)_2189,True
72_ford pinto (sw)_2395,False
72_datsun 510 (sw)_2288,True
72_toyouta corona mark ii (sw)_2506,False
72_dodge colt (sw)_2164,True
72_toyota corolla 1600 (sw)_2100,True
73_buick century 350_4100,False
73_amc matador_3672,False
73_chevrolet malibu_3988,False
73_ford gran torino_4042,False
73_dodge coronet custom_3777,False
73_mercury marquis brougham_4952,False
73_chevrolet caprice classic_4464,False
73_ford ltd_4363,False
73_plymouth fury gran sedan_4237,False
73_chrysler new yorker brougham_4735,False
73_buick electra 225 custom_4951,False
73_amc ambassador brougham_3821,False
73_plymouth valiant_3121,False
73_chevrolet nova custom_3278,False
73_amc hornet_2945,False
73_ford maverick_3021,False
73_plymouth duster_2904,False
73_volkswagen super beetle_1950,True
73_chevrolet impala_4997,False
73_ford country_4906,False
73_plymouth custom suburb_4654,False
73_oldsmobile vista cruiser_4499,False
73_amc gremlin_2789,False
73_toyota carina_2279,False
73_chevrolet vega_2401,False
73_datsun 610_2379,False
73_maxda rx3_2124,False
73_ford pinto_2310,False
73_mercury capri v6_2472,False
73_fiat 124 sport coupe_2265,True
73_chevrolet monte carlo s_4082,False
73_pontiac grand prix_4278,False
73_fiat 128_1867,True
73_opel manta_2158,True
73_audi 100ls_2582,False
73_volvo 144ea_2868,False
73_dodge dart custom_3399,False
73_saab 99le_2660,True
73_toyota mark ii_2807,False
73_oldsmobile omega_3664,False
74_plymouth duster_3102,False
74_ford maverick_2875,False
74_amc hornet_2901,False
74_chevrolet nova_3336,False
74_datsun b210_1950,True
74_ford pinto_2451,True
74_toyota corolla 1200_1836,True
74_chevrolet vega_2542,True
74_chevrolet chevelle malibu classic_3781,False
74_amc matador_3632,False
74_plymouth satellite sebring_3613,False
74_ford gran torino_4141,False
74_buick century luxus (sw)_4699,False
74_dodge coronet custom (sw)_4457,False
74_ford gran torino (sw)_4638,False
74_amc matador (sw)_4257,False
74_audi fox_2219,True
74_volkswagen dasher_1963,True
74_opel manta_2300,True
74_toyota corona_1649,True
74_datsun 710_2003,True
74_dodge colt_2125,True
74_fiat 128_2108,True
74_fiat 124 tc_2246,True
74_honda civic_2489,True
74_subaru_2391,True
74_fiat x1.9_2000,True
75_plymouth valiant custom_3264,False
75_chevrolet nova_3459,False
75_mercury monarch_3432,False
75_ford maverick_3158,False
75_pontiac catalina_4668,False
75_chevrolet bel air_4440,False
75_plymouth grand fury_4498,False
75_ford ltd_4657,False
75_buick century_3907,False
75_chevroelt chevelle malibu_3897,False
75_amc matador_3730,False
75_plymouth fury_3785,False
75_buick skyhawk_3039,False
75_chevrolet monza 2+2_3221,False
75_ford mustang ii_3169,False
75_toyota corolla_2171,True
75_ford pinto_2639,False
75_amc gremlin_2914,False
75_pontiac astro_2592,False
75_toyota corona_2702,True
75_volkswagen dasher_2223,True
75_datsun 710_2545,True
75_ford pinto_2984,False
75_volkswagen rabbit_1937,True
75_amc pacer_3211,False
75_audi 100ls_2694,False
75_peugeot 504_2957,False
75_volvo 244dl_2945,False
75_saab 99le_2671,True
75_honda civic cvcc_1795,True
76_fiat 131_2464,True
76_opel 1900_2220,True
76_capri ii_2572,True
76_dodge colt_2255,True
76_renault 12tl_2202,True
76_chevrolet chevelle malibu classic_4215,False
76_dodge coronet brougham_4190,False
76_amc matador_3962,False
76_ford gran torino_4215,False
76_plymouth valiant_3233,False
76_chevrolet nova_3353,False
76_ford maverick_3012,True
76_amc hornet_3085,False
76_chevrolet chevette_2035,True
76_chevrolet woody_2164,True
76_vw rabbit_1937,True
76_honda civic_1795,True
76_dodge aspen se_3651,False
76_ford granada ghia_3574,False
76_pontiac ventura sj_3645,False
76_amc pacer d/l_3193,False
76_volkswagen rabbit_1825,True
76_datsun b-210_1990,True
76_toyota corolla_2155,True
76_ford pinto_2565,True
76_volvo 245_3150,False
76_plymouth volare premier v8_3940,False
76_peugeot 504_3270,False
76_toyota mark ii_2930,False
76_mercedes-benz 280s_3820,False
76_cadillac seville_4380,False
76_chevy c10_4055,False
76_ford f108_3870,False
76_dodge d100_3755,False
77_honda accord cvcc_2045,True
77_buick opel isuzu deluxe_2155,True
77_renault 5 gtl_1825,True
77_plymouth arrow gs_2300,True
77_datsun f-10 hatchback_1945,True
77_chevrolet caprice classic_3880,False
77_oldsmobile cutlass supreme_4060,False
77_dodge monaco brougham_4140,False
77_mercury cougar brougham_4295,False
77_chevrolet concours_3520,False
77_buick skylark_3425,False
77_plymouth volare custom_3630,False
77_ford granada_3525,False
77_pontiac grand prix lj_4220,False
77_chevrolet monte carlo landau_4165,False
77_chrysler cordoba_4325,False
77_ford thunderbird_4335,False
