ID,mpg01
70_chevrolet chevelle malibu_alpha_3505,False
71_buick skylark 320_bravo_3697,False
70_plymouth satellite_charlie_3421,False
68_amc rebel sst_delta_3418,False
70_ford torino_echo_3444,False
69_ford galaxie 500_foxtrot_4335,False
70_chevrolet impala_golf_4344,False
70_plymouth fury iii_hotel_4302,False
70_pontiac catalina_india_4438,False
69_amc ambassador dpl_juliet_3839,False
69_dodge challenger se_kilo_3574,False
72_plymouth 'cuda 340_lima_3602,False
71_chevrolet monte carlo_mike_3773,False
68_buick estate wagon (sw)_november_3087,False
70_toyota corona mark ii_oscar_2380,True
70_plymouth duster_papa_2844,True
70_amc hornet_quebec_2787,True
70_ford maverick_romeo_2600,True
71_datsun pl510_sierra_2129,True
71_volkswagen 1131 deluxe sedan_tango_1840,True
70_peugeot 504_uniform_2682,True
70_audi 100 ls_victor_2415,True
70_saab 99e_whiskey_2361,True
70_bmw 2002_xray_2242,True
70_amc gremlin_yankee_2651,True
70_ford f250_zulu_4630,False
70_chevy c20_alpha_4374,False
69_dodge d200_bravo_4379,False
70_hi 1200d_charlie_4733,False
70_datsun pl510_delta_2120,True
71_chevrolet vega 2300_echo_2279,True
71_toyota corona_foxtrot_2241,True
70_ford pinto_golf_2048,True
70_amc gremlin_hotel_2648,True
71_plymouth satellite custom_india_3429,False
71_chevrolet chevelle malibu_juliet_3317,False
70_ford torino 500_kilo_3292,False
73_amc matador_lima_3276,False
71_chevrolet impala_mike_4215,False
73_pontiac catalina brougham_november_4471,False
71_ford galaxie 500_oscar_4158,False
71_plymouth fury iii_papa_4090,False
71_dodge monaco (sw)_quebec_4970,False
71_ford country squire (sw)_romeo_4731,False
70_pontiac safari (sw)_sierra_5128,False
71_amc hornet sportabout (sw)_tango_2970,False
71_chevrolet vega (sw)_uniform_2419,True
71_pontiac firebird_victor_3267,False
71_ford mustang_whiskey_3150,False
71_mercury capri 2000_xray_2228,True
71_opel 1900_yankee_2135,True
71_peugeot 304_zulu_2068,True
71_fiat 124b_alpha_2079,True
71_toyota corolla 1200_bravo_1769,True
71_datsun 1200_charlie_1614,True
71_volkswagen model 111_delta_1842,True
72_plymouth cricket_echo_1968,True
72_toyota corona hardtop_foxtrot_2271,True
72_dodge colt hardtop_golf_2123,True
72_volkswagen type 3_hotel_2261,True
72_chevrolet vega_india_2417,True
72_ford pinto runabout_juliet_2215,True
72_chevrolet impala_kilo_4278,False
73_pontiac catalina_lima_4375,False
72_plymouth fury iii_mike_4132,False
