ID,mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name,mpg01
70_chevrolet chevelle malibu_3504,18.0,8,307.0,130,3504,12.0,70,1,chevrolet chevelle malibu,0
70_buick skylark 320_3693,15.0,8,350.0,165,3693,11.5,70,1,buick skylark 320,0
70_plymouth satellite_3436,18.0,8,318.0,150,3436,11.0,70,1,plymouth satellite,0
70_amc rebel sst_3433,16.0,8,304.0,150,3433,12.0,70,1,amc rebel sst,0
70_ford torino_3449,17.0,8,302.0,140,3449,10.5,70,1,ford torino,0
70_ford galaxie 500_4341,15.0,8,429.0,198,4341,10.0,70,1,ford galaxie 500,0
70_chevrolet impala_4354,14.0,8,454.0,220,4354,9.0,70,1,chevrolet impala,0
70_plymouth fury iii_4312,14.0,8,440.0,215,4312,8.5,70,1,plymouth fury iii,0
70_pontiac catalina_4425,14.0,8,455.0,225,4425,10.0,70,1,pontiac catalina,0
70_amc ambassador dpl_3850,15.0,8,390.0,190,3850,8.5,70,1,amc ambassador dpl,0
70_dodge challenger se_3563,15.0,8,383.0,170,3563,10.0,70,1,dodge challenger se,0
70_plymouth 'cuda 340_3609,14.0,8,340.0,160,3609,8.0,70,1,plymouth 'cuda 340,0
70_chevrolet monte carlo_3761,15.0,8,400.0,150,3761,9.5,70,1,chevrolet monte carlo,0
70_buick estate wagon (sw)_3086,14.0,8,455.0,225,3086,10.0,70,1,buick estate wagon (sw),0
70_toyota corona mark ii_2372,24.0,4,113.0,95,2372,15.0,70,3,toyota corona mark ii,1
70_plymouth duster_2833,22.0,6,198.0,95,2833,15.5,70,1,plymouth duster,0
70_amc hornet_2774,18.0,6,199.0,97,2774,15.5,70,1,amc hornet,0
70_ford maverick_2587,21.0,6,200.0,85,2587,16.0,70,1,ford maverick,0
70_datsun pl510_2130,27.0,4,97.0,88,2130,14.5,70,3,datsun pl510,1
70_volkswagen 1131 deluxe sedan_1835,26.0,4,97.0,46,1835,20.5,70,2,volkswagen 1131 deluxe sedan,1
70_peugeot 504_2672,25.0,4,110.0,87,2672,17.5,70,2,peugeot 504,1
70_audi 100 ls_2430,24.0,4,107.0,90,2430,14.5,70,2,audi 100 ls,1
70_saab 99e_2375,25.0,4,104.0,95,2375,17.5,70,2,saab 99e,1
70_bmw 2002_2234,26.0,4,121.0,113,2234,12.5,70,2,bmw 2002,1
70_amc gremlin_2648,21.0,6,199.0,90,2648,15.0,70,1,amc gremlin,0
70_ford f250_4615,10.0,8,360.0,215,4615,14.0,70,1,ford f250,0
70_chevy c20_4376,10.0,8,307.0,200,4376,15.0,70,1,chevy c20,0
70_dodge d200_4382,11.0,8,318.0,210,4382,13.5,70,1,dodge d200,0
70_hi 1200d_4732,9.0,8,304.0,193,4732,18.5,70,1,hi 1200d,0
71_datsun pl510_2130,27.0,4,97.0,88,2130,14.5,71,3,datsun pl510,1
71_chevrolet vega 2300_2264,28.0,4,140.0,90,2264,15.5,71,1,chevrolet vega 2300,1
71_toyota corona_2228,25.0,4,113.0,95,2228,14.0,71,3,toyota corona,1
71_ford pinto_2046,25.0,4,98.0,75,2046,19.0,71,1,ford pinto,1
71_amc gremlin_2634,19.0,6,232.0,100,2634,13.0,71,1,amc gremlin,0
71_plymouth satellite custom_3439,16.0,6,225.0,105,3439,15.5,71,1,plymouth satellite custom,0
71_chevrolet chevelle malibu_3329,17.0,6,250.0,100,3329,15.5,71,1,chevrolet chevelle malibu,0
71_ford torino 500_3302,19.0,6,250.0,88,3302,15.5,71,1,ford torino 500,0
71_amc matador_3288,18.0,6,232.0,100,3288,15.5,71,1,amc matador,0
71_chevrolet impala_4209,14.0,8,350.0,165,4209,12.0,71,1,chevrolet impala,0
71_pontiac catalina brougham_4464,14.0,8,400.0,175,4464,11.5,71,1,pontiac catalina brougham,0
71_ford galaxie 500_4154,14.0,8,351.0,153,4154,13.5,71,1,ford galaxie 500,0
