ID,mpg_01
70_chevrolet chevelle malibu_alpha_3505,0
71_buick skylark 320_bravo_3697,0
70_plymouth satellite_charlie_3421,0
68_amc rebel sst_delta_3418,0
70_ford torino_echo_3444,0
69_ford galaxie 500_foxtrot_4335,0
70_chevrolet impala_golf_4344,0
70_plymouth fury iii_hotel_4302,0
70_pontiac catalina_india_4438,0
69_amc ambassador dpl_juliet_3839,0
69_dodge challenger se_kilo_3574,0
72_plymouth 'cuda 340_lima_3602,0
71_chevrolet monte carlo_mike_3773,0
68_buick estate wagon (sw)_november_3087,0
70_toyota corona mark ii_oscar_2380,1
70_plymouth duster_papa_2844,0
70_amc hornet_quebec_2787,0
70_ford maverick_romeo_2600,0
71_datsun pl510_sierra_2129,1
71_volkswagen 1131 deluxe sedan_tango_1840,1
70_peugeot 504_uniform_2682,1
70_audi 100 ls_victor_2415,1
70_saab 99e_whiskey_2361,1
70_bmw 2002_xray_2242,1
70_amc gremlin_yankee_2651,0
70_ford f250_zulu_4630,0
70_chevy c20_alpha_4374,0
69_dodge d200_bravo_4379,0
70_hi 1200d_charlie_4733,0
70_datsun pl510_delta_2120,1
71_chevrolet vega 2300_echo_2279,1
71_toyota corona_foxtrot_2241,1
70_ford pinto_golf_2048,1
70_amc gremlin_hotel_2648,0
71_plymouth satellite custom_india_3429,0
71_chevrolet chevelle malibu_juliet_3317,0
70_ford torino 500_kilo_3292,0
73_amc matador_lima_3276,0
71_chevrolet impala_mike_4215,0
73_pontiac catalina brougham_november_4471,0
71_ford galaxie 500_oscar_4158,0
71_plymouth fury iii_papa_4090,0
71_dodge monaco (sw)_quebec_4970,0
71_ford country squire (sw)_romeo_4731,0
70_pontiac safari (sw)_sierra_5128,0
71_amc hornet sportabout (sw)_tango_2970,0
71_chevrolet vega (sw)_uniform_2419,0
71_pontiac firebird_victor_3267,0
71_ford mustang_whiskey_3150,0
71_mercury capri 2000_xray_2228,1
71_opel 1900_yankee_2135,1
71_peugeot 304_zulu_2068,1
71_fiat 124b_alpha_2079,1
71_toyota corolla 1200_bravo_1769,1
71_datsun 1200_charlie_1614,1
71_volkswagen model 111_delta_1842,1
72_plymouth cricket_echo_1968,1
72_toyota corona hardtop_foxtrot_2271,1
72_dodge colt hardtop_golf_2123,1
72_volkswagen type 3_hotel_2261,1
72_chevrolet vega_india_2417,0
72_ford pinto runabout_juliet_2215,0
72_chevrolet impala_kilo_4278,0
73_pontiac catalina_lima_4375,0
72_plymouth fury iii_mike_4132,0
72_ford galaxie 500_november_4117,0
72_amc ambassador sst_oscar_3677,0
72_mercury marquis_papa_4632,0
72_buick lesabre custom_quebec_4515,0
71_oldsmobile delta 88 royale_romeo_4442,0
72_chrysler newport royal_sierra_4415,0
71_mazda rx2 coupe_tango_2344,0
72_amc matador (sw)_uniform_3904,0
72_chevrolet chevelle concours (sw)_victor_4094,0
72_ford gran torino (sw)_whiskey_4293,0
72_plymouth satellite custom (sw)_xray_4075,0
72_volvo 145e (sw)_yankee_2934,0
72_volkswagen 411 (sw)_zulu_2519,0
74_peugeot 504 (sw)_alpha_2970,0
72_renault 12 (sw)_bravo_2202,1
72_ford pinto (sw)_charlie_2405,0
72_datsun 510 (sw)_delta_2273,1
72_toyouta corona mark ii (sw)_echo_2511,1
72_dodge colt (sw)_foxtrot_2155,1
72_toyota corolla 1600 (sw)_golf_2089,1
73_buick century 350_hotel_4090,0
73_amc matador_india_3658,0
72_chevrolet malibu_juliet_3995,0
72_ford gran torino_kilo_4040,0
73_dodge coronet custom_lima_3781,0
73_mercury marquis brougham_mike_4943,0
75_chevrolet caprice classic_november_4461,0
72_ford ltd_oscar_4373,0
73_plymouth fury gran sedan_papa_4248,0
73_chrysler new yorker brougham_quebec_4720,0
72_buick electra 225 custom_romeo_4947,0
75_amc ambassador brougham_sierra_3811,0
73_plymouth valiant_tango_3108,0
73_chevrolet nova custom_uniform_3276,0
73_amc hornet_victor_2931,0
73_ford maverick_whiskey_3029,0
73_plymouth duster_xray_2893,1
73_volkswagen super beetle_yankee_1962,1
73_chevrolet impala_zulu_5012,0
73_ford country_alpha_4896,0
74_plymouth custom suburb_bravo_4644,0
73_oldsmobile vista cruiser_charlie_4500,0
72_amc gremlin_delta_2783,0
71_toyota carina_echo_2267,0
73_chevrolet vega_foxtrot_2410,0
73_datsun 610_golf_2382,0
74_maxda rx3_hotel_2116,0
73_ford pinto_india_2322,0
73_mercury capri v6_juliet_2464,0
73_fiat 124 sport coupe_kilo_2270,1
73_chevrolet monte carlo s_lima_4079,0
71_pontiac grand prix_mike_4284,0
74_fiat 128_november_1873,1
73_opel manta_oscar_2164,1
71_audi 100ls_papa_2586,1
73_volvo 144ea_quebec_2856,0
73_dodge dart custom_romeo_3394,0
74_saab 99le_sierra_2671,1
73_toyota mark ii_tango_2795,0
73_oldsmobile omega_uniform_3678,0
73_plymouth duster_victor_3099,0
73_ford maverick_whiskey_2889,0
74_amc hornet_xray_2894,0
72_chevrolet nova_yankee_3332,0
74_datsun b210_zulu_1959,1
74_ford pinto_alpha_2452,1
74_toyota corolla 1200_bravo_1834,1
73_chevrolet vega_charlie_2548,1
74_chevrolet chevelle malibu classic_delta_3790,0
73_amc matador_echo_3627,0
74_plymouth satellite sebring_foxtrot_3622,0
74_ford gran torino_golf_4134,0
74_buick century luxus (sw)_hotel_4702,0
74_dodge coronet custom (sw)_india_4459,0
74_ford gran torino (sw)_juliet_4639,0
74_amc matador (sw)_kilo_4249,0
74_audi fox_lima_2211,1
75_volkswagen dasher_mike_1950,1
74_opel manta_november_2304,1
75_toyota corona_oscar_1658,1
75_datsun 710_papa_1994,1
74_dodge colt_quebec_2118,1
72_fiat 128_romeo_2120,1
74_fiat 124 tc_sierra_2231,1
74_honda civic_tango_2475,1
74_subaru_uniform_2405,1
73_fiat x1.9_victor_1991,1
75_plymouth valiant custom_whiskey_3277,0
74_chevrolet nova_xray_3466,0
75_mercury monarch_yankee_3429,0
75_ford maverick_zulu_3160,0
75_pontiac catalina_alpha_4681,0
75_chevrolet bel air_bravo_4442,0
76_plymouth grand fury_charlie_4494,0
75_ford ltd_delta_4664,0
76_buick century_echo_3904,0
76_chevroelt chevelle malibu_foxtrot_3905,0
75_amc matador_golf_3745,0
75_plymouth fury_hotel_3783,0
75_buick skyhawk_india_3046,0
75_chevrolet monza 2+2_juliet_3228,0
74_ford mustang ii_kilo_3157,0
77_toyota corolla_lima_2185,1
73_ford pinto_mike_2640,1
75_amc gremlin_november_2909,0
75_pontiac astro_oscar_2596,1
74_toyota corona_papa_2689,1
74_volkswagen dasher_quebec_2231,1
74_datsun 710_romeo_2557,1
74_ford pinto_sierra_2989,0
76_volkswagen rabbit_tango_1942,1
75_amc pacer_uniform_3212,0
75_audi 100ls_victor_2698,1
74_peugeot 504_whiskey_2969,1
75_volvo 244dl_xray_2953,0
74_saab 99le_yankee_2667,1
73_honda civic cvcc_zulu_1800,1
74_fiat 131_alpha_2478,1
76_opel 1900_bravo_2235,1
76_capri ii_charlie_2561,1
78_dodge colt_delta_2258,1
77_renault 12tl_echo_2217,1
76_chevrolet chevelle malibu classic_foxtrot_4209,0
75_dodge coronet brougham_golf_4193,0
76_amc matador_hotel_3969,0
77_ford gran torino_india_4201,0
76_plymouth valiant_juliet_3241,0
78_chevrolet nova_kilo_3355,0
77_ford maverick_lima_2998,1
76_amc hornet_mike_3099,0
76_chevrolet chevette_november_2050,1
78_chevrolet woody_oscar_2177,1
75_vw rabbit_papa_1936,1
74_honda civic_quebec_1801,1
